created_at,iso,provider_id,measurements
2013-12-19 02:28:00,US,8593,2
2013-12-19 02:28:00,US,10077,4
2013-12-19 02:29:00,AR,7845,1
2013-12-19 02:29:00,BY,8423,1
2013-12-19 02:29:00,BY,8593,1
2013-12-19 02:29:00,DO,8506,1
2013-12-19 02:29:00,DO,10052,1
2013-12-19 02:29:00,DO,10077,1
2013-12-19 02:29:00,US,7844,1
2013-12-19 02:29:00,US,7845,4
2013-12-19 02:29:00,US,7859,3
2013-12-19 02:29:00,US,8423,2
2013-12-19 02:29:00,US,8506,3
2013-12-19 02:29:00,US,8593,2
2013-12-19 02:29:00,US,10052,2
2013-12-19 02:29:00,US,10077,3
2013-12-19 02:30:00,DE,8506,1
2013-12-19 02:30:00,DE,8593,1
2013-12-19 02:30:00,US,7845,1
2013-12-19 02:30:00,US,7859,2
2013-12-19 02:30:00,US,8506,1
2013-12-19 02:30:00,US,8593,1
2013-12-19 02:30:00,US,10077,1
2013-12-19 02:31:00,AR,7844,1
2013-12-19 02:31:00,AR,7845,2
2013-12-19 02:31:00,AR,7859,1
2013-12-19 02:31:00,AR,8506,1
2013-12-19 02:31:00,AU,7845,1
2013-12-19 02:31:00,AU,10077,1
2013-12-19 02:31:00,BY,7844,1
2013-12-19 02:31:00,BY,7845,1
2013-12-19 02:31:00,BY,7859,1
2013-12-19 02:31:00,BY,8423,1
2013-12-19 02:31:00,BY,8506,1
2013-12-19 02:31:00,BY,8593,1
2013-12-19 02:31:00,CA,7845,1
2013-12-19 02:31:00,CA,8506,1
2013-12-19 02:31:00,CA,8593,1
2013-12-19 02:31:00,CA,10077,1
2013-12-19 02:31:00,DE,7845,1
2013-12-19 02:31:00,DE,8506,2
2013-12-19 02:31:00,DE,8593,2
2013-12-19 02:31:00,DE,10077,1
2013-12-19 02:31:00,IT,7845,1
2013-12-19 02:31:00,IT,7859,1
2013-12-19 02:31:00,IT,10052,1
2013-12-19 02:31:00,NO,7844,3
2013-12-19 02:31:00,NO,7845,1
2013-12-19 02:31:00,NO,7859,4
2013-12-19 02:31:00,NO,8423,3
2013-12-19 02:31:00,NO,8506,6
2013-12-19 02:31:00,NO,8593,2
2013-12-19 02:31:00,NO,10052,4
2013-12-19 02:31:00,NO,10077,4
2013-12-19 02:31:00,NZ,7859,1
2013-12-19 02:31:00,NZ,8506,1
2013-12-19 02:31:00,NZ,10052,1
2013-12-19 02:31:00,PE,7845,1
2013-12-19 02:31:00,PE,7859,1
2013-12-19 02:31:00,RU,10077,1
2013-12-19 02:31:00,SI,7859,1
2013-12-19 02:31:00,SI,8423,1
2013-12-19 02:31:00,SI,8506,1
2013-12-19 02:31:00,SI,8593,1
2013-12-19 02:31:00,SI,10077,1
2013-12-19 02:31:00,US,7844,7
2013-12-19 02:31:00,US,7845,9
2013-12-19 02:31:00,US,7859,10
2013-12-19 02:31:00,US,8423,13
2013-12-19 02:31:00,US,8506,6
2013-12-19 02:31:00,US,8593,8
2013-12-19 02:31:00,US,10052,12
2013-12-19 02:31:00,US,10077,8
2013-12-19 02:32:00,AU,7844,3
2013-12-19 02:32:00,AU,7845,2
2013-12-19 02:32:00,AU,8423,3
2013-12-19 02:32:00,AU,8506,1
2013-12-19 02:32:00,AU,8593,3
2013-12-19 02:32:00,AU,10052,2
2013-12-19 02:32:00,AU,10077,2
2013-12-19 02:32:00,BG,7844,2
2013-12-19 02:32:00,BG,7859,1
2013-12-19 02:32:00,BG,8423,1
2013-12-19 02:32:00,BG,8593,1
2013-12-19 02:32:00,BG,10052,1
2013-12-19 02:32:00,BG,10077,2
2013-12-19 02:32:00,BY,7845,1
2013-12-19 02:32:00,BY,7859,1
2013-12-19 02:32:00,BY,10052,1
2013-12-19 02:32:00,BY,10077,1
2013-12-19 02:32:00,CA,7844,3
2013-12-19 02:32:00,CA,7845,3
2013-12-19 02:32:00,CA,7859,1
2013-12-19 02:32:00,CA,8423,4
2013-12-19 02:32:00,CA,8506,4
2013-12-19 02:32:00,CA,8593,1
2013-12-19 02:32:00,CA,10052,3
2013-12-19 02:32:00,CA,10077,2
2013-12-19 02:32:00,DE,7844,2
2013-12-19 02:32:00,DE,7845,2
2013-12-19 02:32:00,DE,7859,2
2013-12-19 02:32:00,DE,8423,2
2013-12-19 02:32:00,DE,8506,2
2013-12-19 02:32:00,DE,8593,3
2013-12-19 02:32:00,DE,10052,2
2013-12-19 02:32:00,DE,10077,2
2013-12-19 02:32:00,FR,7844,1
2013-12-19 02:32:00,FR,10052,1
2013-12-19 02:32:00,ID,8423,1
2013-12-19 02:32:00,IT,7844,1
2013-12-19 02:32:00,IT,7845,2
